hole_id,dataset_id,project_id,campaign_id,depth_m,azimuth_deg,dip_deg
CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,0.000000000,63.814074832,-83.681340117
CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,50.000000000,63.814074832,-83.681340117
CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,100.000000000,63.814074832,-83.681340117
CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,150.000000000,63.814074832,-83.681340117
CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,189.880122860,63.814074832,-83.681340117
CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,0.000000000,35.854458041,-85.000000000
CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,50.000000000,35.854458041,-85.000000000
CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,100.000000000,35.854458041,-85.000000000
CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,150.000000000,35.854458041,-85.000000000
CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,193.416106179,35.854458041,-85.000000000
CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,0.000000000,354.145541960,-85.000000000
CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,50.000000000,354.145541960,-85.000000000
CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,100.000000000,354.145541960,-85.000000000
CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,150.000000000,354.145541960,-85.000000000
CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,200.000000000,354.145541960,-85.000000000
CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,250.000000000,354.145541960,-85.000000000
CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,265.142124442,354.145541960,-85.000000000
CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,0.000000000,326.185925166,-85.000000000
CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,50.000000000,326.185925166,-85.000000000
CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,100.000000000,326.185925166,-85.000000000
CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,150.000000000,326.185925166,-85.000000000
CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,200.000000000,326.185925166,-85.000000000
CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,250.000000000,326.185925166,-85.000000000
CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,300.000000000,326.185925166,-85.000000000
CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,317.354675262,326.185925166,-85.000000000
CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,0.000000000,88.739795292,-83.013295463
CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,50.000000000,88.739795292,-83.013295463
CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,100.000000000,88.739795292,-83.013295463
CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,150.000000000,88.739795292,-83.013295463
CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,180.000000000,88.739795292,-83.013295463
CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,0.000000000,63.814074832,-85.000000000
CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,50.000000000,63.814074832,-85.000000000
CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,100.000000000,63.814074832,-85.000000000
CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,150.000000000,63.814074832,-85.000000000
CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,184.930496860,63.814074832,-85.000000000
CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,0.000000000,326.185925170,-85.000000000
CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,50.000000000,326.185925170,-85.000000000
CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,100.000000000,326.185925170,-85.000000000
CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,150.000000000,326.185925170,-85.000000000
CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,200.000000000,326.185925170,-85.000000000
CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,248.686957538,326.185925170,-85.000000000
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,0.000000000,301.260204709,-85.000000000
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,50.000000000,301.260204709,-85.000000000
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,100.000000000,301.260204709,-85.000000000
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,150.000000000,301.260204709,-85.000000000
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,200.000000000,301.260204709,-85.000000000
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,250.000000000,301.260204709,-85.000000000
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,300.000000000,301.260204709,-85.000000000
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,315.062015269,301.260204709,-85.000000000
CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,0.000000000,121.260204709,-81.730038413
CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,50.000000000,121.260204709,-81.730038413
CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,100.000000000,121.260204709,-81.730038413
CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,150.000000000,121.260204709,-81.730038413
CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,180.000000000,121.260204709,-81.730038413
CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,0.000000000,146.185925170,-85.000000000
CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,50.000000000,146.185925170,-85.000000000
CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,100.000000000,146.185925170,-85.000000000
CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,150.000000000,146.185925170,-85.000000000
CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,180.000000000,146.185925170,-85.000000000
CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,0.000000000,243.814074832,-85.000000000
CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,50.000000000,243.814074832,-85.000000000
CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,100.000000000,243.814074832,-85.000000000
CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,150.000000000,243.814074832,-85.000000000
CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,200.000000000,243.814074832,-85.000000000
CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,222.785895387,243.814074832,-85.000000000
CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,0.000000000,268.739795292,-85.000000000
CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,50.000000000,268.739795292,-85.000000000
CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,100.000000000,268.739795292,-85.000000000
CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,150.000000000,268.739795292,-85.000000000
CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,200.000000000,268.739795292,-85.000000000
CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,250.000000000,268.739795292,-85.000000000
CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,300.000000000,268.739795292,-85.000000000
CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,329.008741042,268.739795292,-85.000000000
CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,0.000000000,146.185925166,-78.150894112
CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,50.000000000,146.185925166,-78.150894112
CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,100.000000000,146.185925166,-78.150894112
CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,150.000000000,146.185925166,-78.150894112
CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,180.000000000,146.185925166,-78.150894112
CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,0.000000000,174.145541960,-84.822355757
CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,50.000000000,174.145541960,-84.822355757
CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,100.000000000,174.145541960,-84.822355757
CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,150.000000000,174.145541960,-84.822355757
CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,180.000000000,174.145541960,-84.822355757
